,validation_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model_params/n_hidden,config/model_params/n_layers,config/model_params/n_latent,config/model_params/gene_likelihood,config/train_params/max_epochs,config/train_params/plan_kwargs/lr,logdir
100,8301.0498046875,1728429840,,True,1,a8a21c82,2024-10-08_23-24-00,7.670156240463257,7.670156240463257,12024,ip-12-0-0-75,12.0.0.75,7.670156240463257,1,256,3,40,nb,100,0.0007827701901506343,a8a21c82
101,7760.7392578125,1728429871,,True,4,3421a68c,2024-10-08_23-24-31,7.42534065246582,30.739856004714966,12024,ip-12-0-0-75,12.0.0.75,30.739856004714966,4,256,2,10,zinb,100,0.0021239728834099745,3421a68c
102,7942.21728515625,1728429886,,True,2,29229d4a,2024-10-08_23-24-46,7.604044675827026,15.651907920837402,12024,ip-12-0-0-75,12.0.0.75,15.651907920837402,2,128,4,30,nb,100,0.004030678085264154,29229d4a
103,7666.162109375,1728429939,,True,8,1e829a75,2024-10-08_23-25-39,6.39880108833313,52.804450273513794,12024,ip-12-0-0-75,12.0.0.75,52.804450273513794,8,256,2,40,nb,100,0.004707215036646005,1e829a75
104,8263.1220703125,1728429946,,True,1,93c1f6b3,2024-10-08_23-25-46,6.934680461883545,6.934680461883545,12024,ip-12-0-0-75,12.0.0.75,6.934680461883545,1,64,2,40,nb,100,0.0011378162891055724,93c1f6b3
105,7755.64599609375,1728429970,,True,4,1fe42ae0,2024-10-08_23-26-10,5.753320217132568,23.92341661453247,12024,ip-12-0-0-75,12.0.0.75,23.92341661453247,4,256,1,20,nb,100,0.003052231967184818,1fe42ae0
106,7910.75146484375,1728429984,,True,2,d07bfa9d,2024-10-08_23-26-24,6.695440053939819,14.08662724494934,12024,ip-12-0-0-75,12.0.0.75,14.08662724494934,2,256,2,50,nb,100,0.0018696781084850433,d07bfa9d
107,7874.23828125,1728430001,,True,2,27d6a4fb,2024-10-08_23-26-41,7.975342273712158,16.60133671760559,12024,ip-12-0-0-75,12.0.0.75,16.60133671760559,2,256,3,40,zinb,100,0.0014534397002208734,27d6a4fb
108,8185.2158203125,1728430008,,True,1,87a9de8c,2024-10-08_23-26-48,6.91207218170166,6.91207218170166,12024,ip-12-0-0-75,12.0.0.75,6.91207218170166,1,128,2,40,nb,100,0.0017164725864555921,87a9de8c
109,8513.689453125,1728430017,,True,1,e46e7aac,2024-10-08_23-26-57,8.511717081069946,8.511717081069946,12024,ip-12-0-0-75,12.0.0.75,8.511717081069946,1,256,4,10,nb,100,0.0004247671526870283,e46e7aac
110,8178.41552734375,1728430023,,True,1,2bac00cf,2024-10-08_23-27-03,6.772864818572998,6.772864818572998,12024,ip-12-0-0-75,12.0.0.75,6.772864818572998,1,64,2,30,nb,100,0.0024440797765029588,2bac00cf
111,7802.87451171875,1728430050,,True,4,04d4d935,2024-10-08_23-27-30,6.451167345046997,26.994893312454224,12024,ip-12-0-0-75,12.0.0.75,26.994893312454224,4,256,2,40,nb,100,0.007595729641346033,04d4d935
112,8301.6689453125,1728430058,,True,1,f3d05d89,2024-10-08_23-27-38,7.397184133529663,7.397184133529663,12024,ip-12-0-0-75,12.0.0.75,7.397184133529663,1,256,1,40,zinb,100,0.0005162364210993347,f3d05d89
